color,short,long
Red,"Jack Rose, Cherry Blossom","El Diablo, Campari and Soda"
Pink,"Cosmopolitan, Pink Daiquiri","Sea Breeze, Icebreaker"
Orange,"Paradise, Valencia","Tequila Sunrise, Fuzzy navel"
Yellow,Caribe,Matador
Purple,Blue Moon,Violet Fizz
Blue,"M-30 Rain, Aquamarine","Gulfstream, China Blue"
Green,"Mockingbird, Mint Frappe",Emerald cooler
White,"White Lady, Golden Cadillac",Kami - Kaze
Gray,,
Black,,"Normandy Coffee, Cuba libre"
Brown,"B&B, Alexander","French Connection, Kahlua and Milk"
