tagId,tag,color
30,affectionate,Pink
145,blood,Red
198,cheesy,Orange
203,childhood,Yellow
206,chocolate,Brown
210,christmas,Green
215,classic,Purple
255,cool,Gray
278,cute,Pink
278,cute,Orange
292,death,Black
342,ecology,Green
360,erotic,Pink
397,fish,Blue
410,freedom,Orange
414,fun,Orange
414,fun,Yellow
419,future,White
444,golf,Green
445,good,White
486,halloween,Orange
519,honest,Blue
523,horses,Brown
524,hospital,White
551,intelligent,Blue
576,japanese,Purple
600,life,Red
610,loneliness,Black
613,love,Red
641,melancholy,Blue
695,nature,Brown
695,nature,Green
771,passionate,Red
864,romantic,Pink
871,sad,Gray
882,scary,Red
942,space,Blue
1003,sweet,Pink
1020,tense,Red
1020,tense,White
1063,unrealistic,Purple
1102,wedding,White
1116,women,Red
